Neighborhood,zipcode_num
Nieuw-West,1060
Nieuw-West,1061
Nieuw-West,1062
Nieuw-West,1063
Nieuw-West,1064
Nieuw-West,1065
Nieuw-West,1066
Nieuw-West,1067
Nieuw-West,1068
Nieuw-West,1069
Zuid,1070
Zuid,1071
Zuid,1072
Zuid,1073
Zuid,1074
Zuid,1075
Zuid,1076
Zuid,1077
Zuid,1078
Zuid,1079
West,1050
West,1051
West,1052
West,1053
West,1054
West,1055
West,1056
West,1057
West,1058
West,1059
Oost,1090
Oost,1091
Oost,1092
Oost,1093
Oost,1094
Oost,1095
Oost,1096
Oost,1097
Oost,1098
Oost,1099
Noord oost,1020
Noord oost,1021
Noord oost,1022
Noord oost,1023
Noord oost,1024
Noord oost,1025
Noord west,1030
Noord west,1031
Noord west,1032
Noord west,1033
Noord west,1034
Noord west,1035
Noord west,1036
Noord west,1037
Noord west,1038
Noord west,1039
Westpoort,1040
Westpoort,1041
Westpoort,1042
Westpoort,1043
Westpoort,1044
Westpoort,1045
Westpoort,1046
Westpoort,1047
Westpoort,1048
Westpoort,1049
Zuidoost,1100
Zuidoost,1101
Zuidoost,1102
Zuidoost,1103
Zuidoost,1104
Zuidoost,1105
Zuidoost,1106
Zuidoost,1107
Zuidoost,1108
Zuidoost,1109
Binnenstad en Oostelijk Havengebied,1010
Binnenstad en Oostelijk Havengebied,1011
Binnenstad en Oostelijk Havengebied,1012
Binnenstad en Oostelijk Havengebied,1013
Binnenstad en Oostelijk Havengebied,1014
Binnenstad en Oostelijk Havengebied,1015
Binnenstad en Oostelijk Havengebied,1016
Binnenstad en Oostelijk Havengebied,1017
Binnenstad en Oostelijk Havengebied,1018
Binnenstad en Oostelijk Havengebied,1019
Buitenveldert,1080
Buitenveldert,1081
Buitenveldert,1082
Buitenveldert,1083
IJburg,1086
IJburg,1087
