code,country_name,production,import,import_dependency
AUS,Australia,2723738,159578,0.059
AUT,Austria,809628,122802,0.152
BEL,Belgium,1110755,253717,0.228
BGR,Bulgaria,122876,20596,0.168
BRA,Brazil,4103503,214430,0.052
CAN,Canada,3252175,333723,0.103
CHE,Switzerland,1398666,157872,0.113
CHN,China,31745104,1371064,0.043
CYP,Cyprus,39445,4400,0.112
CZE,Czech Republic,492775,101385,0.206
DEU,Germany,7066746,822093,0.116
DNK,Denmark,614585,100200,0.163
ESP,Spain,2567904,244678,0.095
EST,Estionia,54481,9682,0.178
FIN,Finland,513659,65234,0.127
FRA,France,5020133,494306,0.098
GBR,United Kingdom,5283466,437760,0.083
GRC,Greece,375242,37069,0.099
HRV,Croatia,97418,12006,0.123
HUN,Hungary,284430,77408,0.272
IDN,Indonesia,1714345,149581,0.087
IND,India,3983529,300702,0.075
IRL,Ireland,509478,161642,0.317
ITA,Italy,4075401,340275,0.083
JPN,Japan,8668734,611276,0.071
KOR,Korea,3403858,440867,0.13
LTU,Lithuania,85666,15915,0.186
LUX,Luxembourg,211970,86716,0.409
LVA,Latvia,64728,7430,0.115
MEX,Mexico,2130490,254305,0.119
MLT,Malta,28909,10076,0.349
NLD,Netherlands,1671180,304951,0.182
NOR,Norway,835078,75037,0.09
POL,Poland,1105446,146492,0.133
PRT,Portugal,414280,48422,0.117
ROU,Romania,398274,48823,0.123
ROW,Rest of the World,25610235,3050633,0.119
RUS,Russia,3381078,153967,0.046
SVK,Slovak Republic,229292,50939,0.222
SVN,Slovenia,94237,14643,0.155
SWE,Sweden,1018186,119163,0.117
TUR,Turkey,1494427,156121,0.104
TWN,Taiwan,1220629,228371,0.187
USA,United States,30971024,1385978,0.045
